PM10,O3,SO2,PM2.5,NO2,CO,V13305,V10004_700,V11291_700,V12001_700,V13003_700
152.0,41.0,14.235715213813748,100.03586257489917,69.0,1.3053251853576993,0.0,1026.8,0.7,2.5,82.0
124.0,95.0,14.0,57.0,73.0,1.2,0.0,1014.3,0.7,14.3,78.0
138.0,90.0,12.300704417313284,75.0,54.0,1.2,0.0,1009.3,1.5,16.8,83.0
66.0,137.0,6.0,22.0,32.0,0.7,0.0,1005.23,2.08,33.0,63.75
50.0,31.0,11.0,48.0,34.0,1.5,0.7796728843996235,1014.3,2.3,13.2,98.0
56.0,173.0,9.0,34.0,31.0,0.7,0.0,1004.7,0.7,26.8,73.8
49.0,95.0,4.0,33.0,34.0,0.9,0.527010219767547,1004.33,0.9,24.63,92.75
48.0,53.0,5.0,36.0,14.0,0.7,0.7861343303290109,1022.5,3.2,5.5,92.5
47.0,105.0,6.0,20.0,25.0,0.6,0.0,1000.78,2.03,28.38,83.0
51.0,99.0,8.0,31.0,35.0,0.8,0.6,1005.0,1.5,22.1,77.3
36.0,88.0,4.0,10.0,19.0,0.5,0.0,1002.15,2.9,31.73,65.0
9.0,38.0,5.0,6.0,27.0,0.9,0.8446601295348888,1020.2,2.7,13.6,97.5
94.0,194.0,12.0,36.0,60.0,0.9,0.0,1009.2,1.1,24.3,80.5
127.0,106.0,15.144222276135096,75.0,86.0,1.3,0.0,1018.53,1.1,11.05,75.5
68.0,62.0,3.0,24.0,19.0,0.6,0.6756940612466593,1011.4,2.8,19.2,88.8
32.0,140.0,8.0,19.0,32.0,0.5,0.0,1014.4,1.5,16.8375,65.625
12.0,85.0,6.0,7.0,12.0,0.7,0.0,1010.9125,2.125,22.4875,77.875
85.0,58.0,8.0,62.0,52.0,0.8,0.0,1025.55,0.875,2.85,75.625
90.0,77.0,11.0,80.0,48.0,1.2,0.0,1028.95,1.15,7.88,70.75
34.0,65.0,5.0,20.0,33.0,0.6,1.2,1018.2,1.4,15.8,87.3
95.0,59.0,12.0,56.0,59.0,0.9,0.0,1018.9,0.7,10.7,84.5
27.0,137.0,5.0,17.0,20.0,0.8,0.025,998.6625,2.0,29.4,77.5
56.0,45.0,5.0,67.0,28.0,1.2,0.610492918944356,1028.53,1.38,2.55,94.5
87.0,75.0,13.0,66.0,55.0,0.7,0.0,1029.1,1.4,1.4,60.3
63.0,52.0,8.0,56.0,48.0,1.0,0.0,1024.0,1.3,1.9,84.3
101.0,38.0,10.0,61.0,89.0,1.3,0.0,1027.7,0.3,4.5,82.0
35.0,108.0,10.0,11.0,19.0,0.7,0.0,1011.75,3.125,24.875,67.9627213822904
38.0,203.0,11.0,21.0,20.0,0.9,0.0,1007.75,2.25,28.7875,49.25
169.0,15.0,16.689289448729305,98.15702715442515,95.0,1.4536463080890187,0.5,1010.9,1.6,11.3,77.0
55.0,104.0,13.0,19.0,24.0,0.4,0.0,1003.1,3.3,30.8,63.0
76.0,70.0,15.0,81.0,26.0,1.1,0.6,1016.6,1.8,6.5,86.0
44.0,34.0,6.0,23.0,31.0,0.8,0.8553586226637515,1012.6,3.0,10.9,94.5
45.0,147.0,6.0,23.0,16.0,0.8,0.3767375040343204,998.3875,2.25,26.725,80.0
121.0,146.0,8.0,44.0,70.0,1.1,0.0,1009.8,1.23,22.83,77.5
58.0,79.0,8.0,46.0,37.0,0.8,0.0,1022.7,0.9,9.1,79.8
13.0,35.0,3.0,19.0,21.0,0.7,0.781310055638567,1019.4,1.7,5.7,92.0
64.0,91.0,9.0,42.0,41.0,0.9,0.29328187651252957,1011.8,1.0,18.3,80.3
72.0,125.0,10.0,34.0,24.0,0.6,0.0,1026.7,3.6,13.3,58.40357522808449
55.0,149.0,14.0,30.0,54.0,0.9,0.0,1017.9,0.7,18.9,69.8
113.0,196.0,12.0,47.0,49.0,0.8,0.0,1007.63,1.13,26.85,72.75
163.0,118.0,16.0,92.79092973865158,74.0,1.2381737796145957,0.0,1018.2,1.83,10.48,66.75
31.0,126.0,7.0,18.0,28.0,0.8,0.1,1004.1,1.0,25.7,82.0
56.0,140.0,11.0,20.0,24.0,0.7,0.0,1010.45,2.23,24.05,65.25
73.0,11.0,10.0,46.0,58.0,1.3,1.7,1010.7,1.2,14.1,92.8
56.0,31.0,7.0,49.0,30.0,0.7,1.6625,1028.375,2.875,4.55,81.25
128.0,116.0,20.0,86.0,76.0,1.2,0.0,1018.8,0.85,9.33,72.75
116.0,103.0,19.0,43.0,44.0,0.7,0.0,1003.1,3.1,24.0,62.0
42.0,27.0,7.0,28.0,32.0,0.9,0.0,1028.6801,2.48,10.85,86.75
94.0,123.0,8.0,36.0,48.0,0.7,0.0,1017.7093004897832,1.0,14.7375,68.25
37.0,156.0,6.0,15.0,25.0,0.8,0.2686459945687112,1000.8625,2.0,29.8125,78.625
43.0,147.0,6.0,31.0,28.0,0.6,0.7,1007.9,0.5,22.9,80.5
46.0,112.0,10.0,15.0,30.0,0.6,0.0,1016.9,1.0,19.5,60.8
57.0,85.0,8.0,54.0,21.0,0.7,0.0,1023.8,1.4,3.9,80.0
104.0,177.0,4.0,65.0,23.0,0.9576107980618547,0.0,1002.2,3.1,30.8,77.0
179.0,71.0,15.756776773058917,115.3248252437595,77.0,1.419020443603566,0.0,1029.7,0.9,1.3,85.0
124.0,67.0,15.0,102.0,94.0,1.3,0.0375,1021.0375,1.0,7.3625,71.375
52.0,103.0,7.0,27.0,30.0,0.7,0.0,997.8,2.6,29.6,81.0
30.0,105.0,5.0,17.0,18.0,0.5,0.4027539437623373,997.9875,3.875,30.0125,75.5
149.0,194.0,14.0,63.0,70.0,1.1,0.0,1002.35,1.03,27.45,71.25
175.0,87.0,22.0,104.6125098607593,77.0,1.4338490485310542,0.0,1016.25,1.3,9.63,77.25
